fouc,f**k off you c**t 
lylam,love you like a mom
nq,Thank you
nr, no reserve
ns,nice
nt,nice try
nu,new
nv,envy
lorrl,laugh out really really loud
diez,dies
din't,didn't
wombat,waste of money, brains, and time
ygp,you got  punked!
wtfiwwy,what the f**k is wrong with you
tiss,This is some s**t
wtfiwwu,what the f**k is wrong with you
wrtg,writing
cnt,can't
5h17,s**t
syatp,see you at the party
kkthnxbye,okay thanks bye
lezbean,lesbian
wrdo,weirdo
webby,webcam
sotc,stupid off topic crap
aslp,age, sex, location, picture
hiik,Hell If I Know
aslr,age sex location race
pwcb,parents watching close by
iwmy,i will miss you
iyss,if you say so
cmomc,call me on my cell
fsm,flying spaghetti monster
ysm,you scare me
tdtm,Talk Dirty To Me
bizi,Busy
fsr,for some reason
fst,fast
ilygsm,i love you guys so much
idnk,i don't know
n1,nice one
n2,into
bmfl,best mates for life
aslo,age sex location orientation
figjam,f**k I'm good, just ask me
roi,Return On Investment
roj,affirmative
nwtf,now what the f**k
newbie,new player
wiid,what if i did
prsn,person
nvmt,nevermind that
walstib,what a long strange trip it's been
d.t.f,down to f**k
ilysmydek,I Love You So Much You Don't Even Know
ysoab,You son of a b***h
ykn,you know nothing
milf,Mom i'd like to f**k
ibbl,I'll be back later
wut,what
iwaa,It was an accident
llc,laughing like crazy
ror,raughing out roud
llf,laugh like f**k
nop,normal operating procedure
idgara,I don't give a rat's a**
hwik,how would i know
toya,thinking of you always
gmybs,give me your best shot
hax0rz,Hackers
ctnbos,can't talk now boss over shoulder
ilusfm,I love you so f**king much
swf,single white female
ig2g,I got to go
puh-leaze,Please
gigo,garbage in garbage out
knackered,drunk
roflcopter,Rolling on the floor laughing
sotr,sex on the road
p4p,pic for pic
foa,f**k off a**h**e
loxen,laughing out loud
alaytm,as long as you tell me
tpiwwp,this post is worthless without pictures
cyas,see you soon
wtfya,what the f**k you a**h**e
ymg2c,your mom goes to college
hax0r,hacker
nething,anything
ursdf,you are so d**n fine
roofles,rolling on the floor laughing
brbf,Be Right Back f**ker
bykt,But you knew that
wths,want to have sex
anywaz,anyways
rotfpm,rolling on the floor pissing myself
cood,could
cskr,c**k sucker
cyal,see you later
oic,oh, I see
w00t,woohoo
ihya,i hate you all
dil,Daughter in law
kwtsds,Kiss where the sun don't shine
din,didn't
icp,insane clown posse
dih,d**k in hand
wysiayg,what you see is all you get
enof,enough
gud,good
w.o.w.,world of warcraft
wtfay,who the f**k are you
bicbw,but I could be wrong
wtfrudng,what the f**k are you doing
jhm,just hold me
jho,just hanging out
dic,do i care
ijeomk,I just ejaculated on my keybord
diy,do it yourself
cmptr,computer
dit,Details in Thread
tnx,thanks
yall,you all
dis,this
jtty,just to tell you
htf,how the f**k
ykw,You Know What
iydmma,if you don't mind me asking
htc,hit the cell
rents,parents
ruk,are you ok?
phreaker,phone hacker
myofb,mind your own f**king business
omgwtfhax,Oh My God What The f**k, Hacks!
a.i.m.,aol instant messanger
rentz,parents
plocks,please
hth,hope that helps
wassup,what's up?
trd,tired
haxer,Hacker
bakk,back
wtfyb,what the f**k you b***h
pml,pissing myself laughing
pls,please
obtw,oh, by the way
pmo,pissing me off
lmaorotf,laughing my a** off rolling on the floor
twvsoy,that was very stupid of you
lmbo,laughing my butt off
wbrb,Will be right back
ihusb,i hate you so bad 
arvo,afternoon
hsd,high school dropout
osifgt,oh s**t i forgot
awsic,and why should i care
t2b,time to blunt
ihusm,i hate you so much
addy,address
ufmf,you funny mother f**ker
uta,up the a**
moobs,man boobs
dylos,do you like oral sex
otfcu,on the floor cracking up
hhyb,how have you been
gawd,god
ihusfm,i hate you so f**king much
rua,are you alone
pt33n,preteen
bh,bloody hell
oways,oh wow are you serious
rotflmaofaktd,Rolling on the floor laughing my a** off farted and killed the dog
tgfitw,The Greatest Fans In The World
plars,party like a rock star
watev,whatever
orly,oh really?
qool,cool
fmah,f**k my a** hole
re,reply
bk,back
hldon,hold on
fmao,freezing my a** of
gmao,Giggling my a** off
smho,Screaming My Head Off
kss,kiss
flames,angry comments
flamer,angry poster
brgds,best regards
fsho,for sure
bos,boss over shoulder
gsave,global struggle against violent extremists
jsing,just saying
kthnxbai,Okay, thanks, bye
boi,boy
db4l,drinking buddy for life
g2e,got to eat
bol,Barking Out Loud
ygtsr,you got that s**t right
tgtbt,Too Good To Be True
bpot,big pair of tits
hbu,how about you
idfts,I don't f**king think so
cbf,cant be f**ked
wwdhd,What would David Hasselhoff do
uve,You've
g2k,good to know
g2h,go to hell
noygdb,none of your god d**n business
wtmi,way too much information
rolmfao,rolling over laughing my f**king a** off
latwttb,laughing all the way to the bank
iunno,I don't know
rur,are you ready
phuxor,f**k
wana,want to
lovu,love you
prnoscrn,porn on screen
ians,I am Not Sure
fbk,facebook
oh noez,Oh no!
ynt,why not
roflmgdmfao,roling on floor laughing my god d**n mother f**king a** off
ayl,are you listening
xor,hacker
ayk,are you kidding
shuddup,Shut Up
ayd,are you done
roflpmp,rolling on the floor laughing peeing my pants
ayc,awaiting your comments
ayb,All Your Base
f8,fate
msm,main stream media
perv,pervert
msh,Me so horny
msg,message
ayt,are you there
ayw,as you wish
ily4ev,i love you forever
pmpl,piss my pants laughing
ays,are you serious
wu2kilu,want you to know I love you
nstaafl,No Such Thing As a Free Lunch
w/out,without
wfyb,whatever floats your boat
ooc,out of character
oob,out of buisness
oom,Out of mana
lmpo,laughing my panties off
qft,quoted for truth
zup,what's up?
yhtbt,You Had To Be There
tyclos,turn your CAPS LOCK off, stupid
oow,On our way
bndm3ovr,Bend me over
haxor,hacker
w8ing,waiting
w8t4me,wait for me
luvv,love
acgaf,Absolutely couldn't give a f**k
yer,you're
trani,transexual
ctfu,cracking the f**k up
ihysmrn,i hate you so much right now
ijgl,I just got laid
fmsh,f**k me so hard
smtm,sometime
ttynw,talk to you next week
n2b,not too bad
hngry,hungry
wanker,masturbater
ctfd,calm the f**k down
focl,Falling Off Chair Laughing.
whatev,whatever
cam,camera
roflao,rolling on the floor laughing my a** off
ctfo,chill the f**k out
cmitm,Call me in the morning
thr4,therefore
gu2i,get used to it 
ibt,I'll be there
urtw,you are the worst
sux0rz,sucks
afaiaa,As Far As I Am Aware
b4u,before you
mpbis,most popular boy in school
iucmd,if you catch my drift
idr,I don't remember
stfuppercut,shut the f**k up
bffa,best friends for always
hwmbo,he who must be obeyed
noobie,new person
yvw,you're very welcome
lawl'd,laughed out loud
chik,chick
skeet,ejaculate
norwich,knickers off ready when I come home
qoty,quote of the year
crazn,crazy asian
ymgtc,Your Mom Goes To college
ih8usm,i hate you so much
p.o.b.,Parent Over Back
6flx,X-Rated movie (sex flick)
nips,nipples
?^,what's up?
lbnr,laughing but not really
pino,Filipino
prod,product
iuno,i dunno
glux,good luck
yaagf,you are a good friend
utfs,Use the f**king search
swmbo,she who must be obeyed
aqap,as quick as possible
oslt,or something like that
lulab,Love you like a brother
dywtmusw,do you want to meet up some where
ligas,like I give a s**t
fps,First Person Shooter
j00r,your
nyc,New York City
pebkac,problem exists between keyboard and chair
srs,serious
nyf,not your fault
mpaw,my parents are watching
snf,so not fair
aoe,Age Of Empires
aoc,age of consent
aob,any other business
lmfr,Lets Meet For Real
aon,all or nothing
snl,Saturday Night Live
imysfm,i miss you so f**king much
4tw,for the win
c&c,Command and Conquer
dats,that's
sry,sorry
trble,trouble
iiwii,it is what it is
str8,straight
aos,adult over shoulder
2l8,too late
xplaned,explained
lylno,Love you like no other
mai,my
lrfl,Laughing really f**king loud
w911,Wife in room
wuu22m,what you up to tomorrow
obvi,obviously
wrk,work
mao,my a** off
prob,problem
ojsu,Oh, just shut up!
wuny,wait until next year
dym,Do you mind
fckd,f**ked
muzik,music
wtva,whatever
ny1,Anyone
bling-bling,jewelry
su,shut up
st,Stop That
sk,spawn kill
pmsfl,Pissed Myself f**king Laughing
fubr,f**ked Up Beyond Recognition
sn,screen name
sm,social media
sgb,straight/gay/bisexual
fcku,f**k you
urtb,you are the best
neida,any idea
sd,suck d**k
cybr,cyber
tofy,Thinking of You
tty,Talk to You
hom,home
kys,kill yourself
w\e,whatever
nowin,knowing
ttr,time to run
tyfyt,Thank you for your time
wdywtta,what do you want to talk about
dgoai,don't go on about it
see through your eyes,stye
fragged,killed
wfhw,what's for homework
woft,Waste of f**king time
gwijd,guess what i just did
stfuah,shut the f**k up a**h**e
dillic,Do I look like I care
ttc,text the cell
soe,service oriented enterprise
4give,forgive
hmewrk,homework
no1,no one
cybl,call you back later
glln,Got Laid Last Night
gta,Grand Theft Auto
gtb,Go To Bed
avie,Avatar
dju,did you
jic,just in case
gtf,get the f**k
gtg,got to go
gth,go to hell
gtk,good to know
gtm,giggling to myself
gtn,getting
dya,Do you
gtp,Got to pee
gtr,Got to run
gts,going to school
wanafuk,wanna f**k
l8ers,Later
thanx,thank you
cul8tr,see you later
tbf,to be fair
ttylt,talk to you later today
ilotibinlirl,I'm laughing on the internet, but I'm not laughing in real life
tmbi,tell me about it
thanq,thank you
ltms,Laughing to my self
stufu,stupid f**ker
ltmq,Laugh To Myself Quietly
iukwim,if you know what i mean
kky,kinky
gd&r,grins, ducks, and runs
urnc,you are not cool
aymf,are you my friend
noc,naked on camera
iokiya,it's ok if you are
gfe2e,grinning from ear to ear
kkk,ku klux klan
cut3,cute
lolcity,the whole city laughs out loud
mlia,my life is amazing
wdf,Worth Dying For
rtfa,read the f**king article
kthz,ok thanks
lpms,life pretty much sucks
ytm,you tell me
p3n15,penis
namh,not at my house
zomgzorrz,oh my god
itzk,it's ok
terd,s**t
rmso,Rock My socks off
dqmot,don't quote me on this
ussr,The Union of Soviet Socialist Republics
cuzz,Because
sdf^,shut da f**k up
ss,screenshot
hijack,start an off topic discussion
v4g1n4,vagina
em,them
lololz,laugh out loud
btias,Be there in a second
errythin,everything
eg,evil grin
ef,f**k
llol,literally laughing out loud
bizzle,b***h
cless,clanless
lmkwut,let me know what you think
gtfh,go to f**king hell
ey,hey
rotfalol,roll on the floor and laugh out loud
ez,Easy
gtfo,get the f**k out
skhool,school
eq,Everquest
bka,better known as
fyad,f**k you and die
dilligas,do i look like i give a s**t
fsob,f**king son of a b***h
bruva,brother
fsod,frosn screen of death
rtfu,Ready the f**k up
blu,blue
tifs,this is funny s**t
oicic,oh i see i see
phux,f**k
fyah,f**k you a**h**e
piitb,put it in the butt
dwioyot,Deal With It On Your Own Time
wuwtab,what do you want to talk about
dilligaf,do I look like I give a f**k
blh,bored like hell
dilligad,do I look like I give a d**n
4r3al,for real
motarded,more retarded
ilum,i love you more
blg,blog
bubi,bye
phun,fun
ohic,oh I see
ploms,parent looking over my shoulder
lgbtq,Lesbien, Gay, Bisexual, Transgender and Queer.
bbim,Be Back In Minute
suib,shut up im busy
lmp,lick my p***y
gotc,get on the computer
lma,leave me alone
lms,leave me some
wts,want to sell
shizit,s**t
imnsho,in my not so humble opinion
pbkc,Problem between keyboard & chair
ajax,Asynchronous Javascript and XML
lmk,let me know
lml,love my life
lmo,Leave Me One
gis,Google Image Search
lmb,lick my balls
usuk,You Suck
lmd,Lick My d**k
ftlog,for the love of god
lmg,let me guess
gafi,get away from it
gd4u,Good For You
gafl,get a f**king life
dunna,i don't know
bovered,bothered
dunno,I don't know
a&f,always and forever
wussup,What is up?
byeas,good-bye
rtfmm,read the f**king manual moron
biotch,b***h
chillax,chill and relax
nuff,enough
vrsty,Varsity
yuo,you
what^,what's up?
wwtf,what was that for
iawtc,I agree with this comment
lafs,love at first sight
roflmfaopmp,rolling on flor laughing my f**king a** of peeing my pants
ygpm,you've got a private message
301ing,referring traffic to another site
rmr,remember
oohm,out of his/her mind
witwu,who is there with you
tbqf,to be quite frank
rlbf,Real Life Boy Friend
wtgp,Want to go Private
tigger,tiger
sho'nuff,sure enough
phuck,f**k
xd,extreme droll
iyd,In Your Dreams
hmwrk,Homework
rino,republican in name only
w2g,Way to go
imya,i miss you already
but6,buttsex
was^,What's Up
mflfs,married female looking for sex
acct,account
iwfusb,i wanna f**k you so bad
ihac,I have a customer
rawks,rocks
*g*,grin
w/o,with out
iai,i am interested
iah,i am horny
yim,yahoo instant messenger
wtfwt,what the f**k was that
iag,it's all good
bitd,back in the day
fmr,f**k me runnig
ukr,You know right
fmq,f**k me quick
fmn,f**k me now
fml,f**k my life
2,too
gkys,Go kill yourself
fmh,f**k me hard
fmi,for my information
sukz,sucks
thru,through
floabt,for lack of a better term
twys,Talk With You Soon
fmb,f**k me b***h
iap,I Am Pissed
hud,Heads Up Display
thar,there
yust,why you say that
wuwtb,what do you want to talk about
dbafwtt,Don't Be A Fool Wrap The Tool
imy2,i miss you to
instakill,instant kill
hun,honey
eyez,eyes
smto,Sticking My Tongue Out
vfm,value for money
smbt,Suck my big toe
waw,what a w***e
2ge4,Together
dutma,don't you text me again
tna,tits and a**
slt,something like that
bobw,Best of Both Worlds
lolbs,laugh out loud but seriously
ytmnd,You're the man now, dog!
gim,google instant messanger
becuz,because
wyw,What You Want
m3,me
lmao,laughing my a** off
serp,search engine results page
gotta,got to
p911,parent emergency (parent near)
nn2r,no need to respond
zoot,woohoo
ymfp,Your Most Favorite Person
bsxc,be sexy
orgy,orgasm
tcial,The cake is a lie
wthwt,what the hell was that?
hfwt,have fun with that
havnt,haven't
azhol,a**h**e
ni994,n***a
j/p,just playing
prd,period
j/s,just saying
j/t,just talking
whut,what
aprece8,appreciate
anl,all night long
sab,slap a b***h
pro,professional
dass,dumb a**
gnos,get naked on screen
cuic,see you in cla**
fri.,Friday
prw,parents are watching
anw,anyways
mutha,mother
prp,please reply
wtfits,what the f**k is this s**t
j/j,just joking
j/k,just kidding
gnoc,get naked on cam
hmoj,holy mother of jesus
iitywimwybmad,if I tell you what it means will you buy me a drink
gky,Go kill yourself
rotflmmfao,rolling on the floor laughing my mother f**king a** off
tiic,the idiots in control
wylym,Watch Your Language Young Man
wcw,webcam w***e
wmgl,wish me good luck
wtfiyp,what the f**k is your problem
imoo,in my own opinion
bizatch,b***h
iistgtbtipi,If It Sounds Too Good To Be True It Probably Is
bmvp,be my valentine please
omfd,oh my f**king days
gwrk,good work
zot,Zero Tolerance
gwork,good work
6up,cops in area
tbtfh,to be totally freaking honest
lhs,lets have sex
omfl,oh my f**king internet connection is slow
wtfruo,what the f**k are you on?
omfj,oh my f**king jesus
lyaaf,Love you as a friend
iwg,it was good
whteva,what ever
iwc,In Which Case
whteve,whatever
asafp,as soon as f**king possible
hfn,Hell f**king no
iwk,I wouldn't know
fuxor,f**ker
uya,up your a**
iwu,i want you
smtoay,Sticking my tongue out at you
iws,i want sex
pr0,professional
tisfu,that is so f**ked up
ntrly,Not Really
wruu2,what are you up to
3vi1,evil
fck,f**k
gdmfpos,god d**n mother f**king piece of s**t
iwy,i want you
apoc,apocalypse
lawl,lauging out loud with a southern drawl
dttml,don't talk to me loser
gnite,good night
kmag,kiss my a** goodbye
wgph2,Want to go play Halo 2?
lates,later
ilbcnu,i'll be seeing you
kmp,kill me please
smbd,suck my big d**k 
baggkyko,be a good girl, keep your knickers on
wtful,What the f**k you loser
t2ul8r,talk to you later
pwb,p***y whipped b***h
n/a/s/l,name, age, sex location
u/l,upload
steamloller,Laughing. Alot.
mgiwjsdchmw,my girlfriend is watching jeff so don't call her my wife
ib,I'm back
idgaff,I don't give a flying f**k
tkd,Tae Kwon Do
jizz,semen
wduc,what do you care
ttbomk,to the best o fmy knowledge
ltnt,long time no talk
gsta,Gangster
ltns,long time no see
lmaonade,laughing my a** off
ilywamh,I love you with all my heart
tgis,thank god it's saturday
wdut,what do you think?
dgms,Don't get me started
idgafs,I don't give a f**king s**t
n199312,african american
noobz0r,newbie
youngin,young person
wayt,What are you thinking?
ltnc,Long time no see
incrse,increase
gtgpp,got to go pee pee
woot,woohoo
bukket,bucket
iitywybmad,if I tell you, will you buy me a drink?
slos,someone looking over shoulder
somadn,sitting on my a** doing nothing
gdgd,good good
ntmk,Not to my knowledge
dick,penis
tldr,Too long, didn't read.
nes,Nintendo Entertainment System
wayh,why are you here
ntmu,nice to meet you
lmfbo,laugh my f**king butt off
ihtfp,I hate this f**king place
ntmy,nice to meet you
fym,f**k your mom
ino,I know
ygm,You Got Mail
oyid,oh yes i did
fmuta,f**k me up the a**
fubb,f**ked up beyond belief
p00p,poop
2mw,tomorrow
chswmrn,come have sex with me right now
dyt,Don't you think
fubh,f**ked up beyond hope
gey,gay
dyw,don't you worry
911sc,emergency let's stop chatting
fuhget,forget
fmutp,f**k me up the p***y
2ma,Tomorrow
ijaf,it's just a fact
icydn,in case you didn't know
dyk,did you know
ttyitm,talk to you in the morning
s'up,what is up
b4n,bye for now
wau^2,what are you up to?
2mo,tomorrow
blnt,Better Luck Next time
lolngs,laghing out loud never gonna stop
g2g4aw,got to go for a while
bubar,bushed up beyond all recognition
ooo,out of the office
gfadh,go f**k a dead horse
wwe,World Wrestling Entertainment
pmfji,Pardon me for jumping in
broseph,brother
atst,At the same time
mfkr,motherf**ker
n2br,not to be rude
icbi,i can't believe it
roger,affirmative
nntr,no need to reply
pima,Pain in my a**
yaafm,You Are A f**king Moron
omgyg2bk,oh my god you got to be kidding
wayd,what are you doing
uw,you're welcome
bmha,bite my hairy a**
hmfic,head mother f**ker in charge
ttyab,Talk to you after breakfast
dbag,d****ebag
laff,laugh
wthwut,what the hell were you thinking
dbab,don't be a b***h
wud,would
wwhw,when where how why
fucktard,f**king retard
ttyal,Talk to you after lunch
ttyas,talk to you at school
hbii,how big is it
lyfe,life
lnk,Link
rme,rolling my eyes
nvrmnd,never mind 
itt,in this thread
dtrt,do the right thing
tfln,thanx for last night
wayn,Where Are You Now
wats ^,whats up
gmabj,give me a blowjob
gagp,go and get pissed
sleepin,sleeping
dmba*,dumba**
kool,cool
o&o,over and out
p0wn,make to look bad
wsidi,Why Should I Do It
tmk,to my knowledge
gagf,go and get f**ked
bleme,blog meme
4fs,for f**k's sake
ygtbfkm,you've got to be f**king kidding me
wttp,want to trade pictures?
ytf,why the f**k
ui,User Interface
ytd,year to date
vry,very
jtc,Join the club
utw,used to work
yk,you kidding
ima,I am a
aslop,Age Sex Location Orientation Picture
idkyb,i don't know why but
clm,Cool Like Me
mfg,merge from current
comp,Computer
ple's,please
jw,just wondering
jp,just playing
gtgbb,got to go bye bye
js,just saying
tuh,to
jm,Just Messing
ywia,You're welcome in advance
etmda,Explain it to my dumb a**
gnst,goodnight sleep tight
jk,just kidding
xroads,crossroads
jf,just fooling
1nce,once
jb,jailbait
byes,bye bye
jfk,Just f**king kidding
jfj,jump for joy
jfi,just forget it
uty,it's up to you
jfo,just f**k off
jfn,just for now
jfl,just for laughs
faggit,faggot
whyb,where have you been
tbfu,too bad for you
 bi,bye
jff,just for fun
ykm,You're killing me
gws,get well soon
luver,lover
jfr,Just for reference
tmai,tell me about it
m'kay,okay
summin,something
jfu,just for you
j/w,just wondering
lolaw,laugh out loud at work
uber,over
m8t's,friends
kthnxbye,Okay, thanks, bye
jj,just joking
fttp,for the time being
wdidn,what do i do now
pov,point of view
imm,instant message me
oww,Oops, wrong window
hve,have
pos,Parent Over Shoulder
poq,Piss Off Quick
cmeo,crying my eyes out
ph33r,fear
pol,parent over looking
w012d,word
lf2m,looking for 2 more
poi,point of interest
totpd,top of the page dance
buwu,breaking up with you
iw2fu,i want to f**k you
poc,Piece of crap
0noe,Oh No
hrud,how are you doing
awsome,awesome
id10t,idiot
scurred,scared
jking,joking
sul,see you later
roffle,rolling on the floor laughing
pssy,p***y
sez,says
kwim,Know What I Mean
lmso,laughing my socks off
wowzers,wow
lmaorof,Laughing my a** off Rolling on the floor
snes,Super Nintendo Entertainment System
bf4l,best friends for life
boomm,bored out of my mind
secks,sex
luff,Love
cgad,couldn't give a d**n
cgaf,couldn't give a f**k
bmf,be my friend
tjb,thats just boring
raoflmao,rolling around on floor laughing my a** off
psos,parent standing over sholder
myaly,miss you and love you
fapping,masterbating
bml,bless my life
imy,I miss you
lmbfwao,laughing my big fat white a** off
bttyl,be talking to you later
p.o.s.,parent over shoulder
rflmao,rolling on the floor laughing my a** off
6y,sexy
utube,youtube
betcha,bet you
n2p,need to pee
idrts,I don't really think so
g2gb2wn,got to go back to work now
tgws,that goes without saying
ftfy,Fixed that for you
hdu,how dare you
latn,laugh at the newbs
kwit,quit
trnsltr,translator
idntk,i dont need to know
zomg,Oh my God
pwner,owner
ti2o,that is too obious
witwwyt,what in the world were you thinking
bf4e,best friends for ever
gwm,gay white male
wats^,what's up?
msibo,my side is busting open
ftfa,From The f**king Article
lol@u,Laugh out loud at you
eil,explode into laughter
lya,love you always
ive,i have
cigs,cigarettes
cylbd,catch ya later baby doll
ctrn,can't talk right now
biaf,Back In A Few
ctrl,control
nethin,anything
jfg,just for giggles
bewt,boot
ntty,nice talking to you
vbeg,very big evil grin
prty,party
bros,brothers
lyl,love you lots
wwcnd,What would Chuck Norris do
tchbo,Topic creater has been owned
wiwhu,wish I was holding you
stfuyb,shut the f**k up you b***h
sxy,sexy
myob,mind your own business
mngmt,management
avvie,avatar
bewb,boob
y,why
ehlp,help
hxc,hardcore
gfam,Go f**k A Monkey
wnt,want
pas,parent at side
stfub,shut the f**k up b***h
stfua,shut the f**k up already
gfak,go fly a kite
gfad,go f**k a duck
stfun,Shut the f**k up n****r
sssd,Same s**t Same Day
y'all,you all
nnr,no not really
ykwya,you know who you are
wwudtm,what would you do to me
w33d,weed
bowt,about
pae,Pimpin aint easy
pag,Parents Are Gone
pah,parents at home
paw,parents are watching
wtt,want to trade
nh,nice hand
sfwuz,safe for work until zoomed
gfas,go f**k a sheep
defs,definetly
iwsn,i want sex now
foad,f**k off and die
m&d,mom and dad
for sheeze,for sure
wtfs,what the f**king s**t?
rotflmao,rolling on the floor laughing my a** off
dbeyr,don't believe everything you read
lmvo,laugh my vagina off
dyth,d**n You To Hell
foah,f**k off a**h**e
lmtd,limited
nk,no kidding
dfw/m,Don't f**k with Me
wtfm,what the f**k, mate?
cptn,captain
fimh,forever in my heart
nah,no
lshiwms,laughing so hard I wet myself
imnshmfo,In My Not So Humble Mother f**king Opinion
cr,Can't remember
idn,i don't know
wtfe,What The f**k Ever
uctaodnt,you can't teach an old dog new tricks
wtfigo,what the f**k is going on
ftmfw,for the mother f**king win
ul,unlucky
nn,good night
b-cuz,because
biwm,bisexual white male
prncpl,principal
afaicr,As Far As I Can Remember
afaics,as far as I can see
afaict,as far as I can tell
roflmaopmp,rolling on the floor, laughing my a** off, pissing my pants
roflmho,Rolling on the floor laughing my head off
idrfk,I don't really f**king know
ccl,Couldn't Care Less
uttm, you talking to me?
hubby,husband
swmt,Stop Wasting My Time 
mlod,mega laugh out loud of doom
gdr,grinning, ducking, running
idke,I don't know ethier
ypmf,you pissed me off
ishii,i see how it is
iwhi,I would hit it
t.t.y.l,Talk To You Later
bnol,be nice or leave
idkh,I don't know how
mlc,mid life crisis
igahp,I've got a huge penis
idkw,I don't know why
idkt,I don't know that
ihtp,I Have To Poop
miwnlf,mom I would not like to f**k.
whenevs,whenever
ps2,Play Station 2
bzns,buisness
irtf,I'll return the favor
wypsu,will you please shut up
pachs,parents are coming home soon
idky,I don't know you
til,until
wygwm,will you go with me
ntxt,no text
4e&e,forever and ever
lmaowtntpm,laughing my a** off whilst trying not to piss myself
lolarotf,laughing out loud and rolling on the floor
ttt,to the top
ikwym,i know what you mean
ikwyl,I know where you live
vb,visual basic
blog,web log
ttms,talking to myself
ded,Dead
4,for
pow,prisoner of war
pebcak,Problem Exists Between Chair and Keyboard
beatch,b***h
tddup,till death do us part
tuff,tough
wym,What You Mean?
ploxxorz,please
omgykkyb,oh my god you killed kenny you b*****ds
psn,playstation netwok
aml,All My Love
rplbk,reply back
ynm,yes, no, maybe
ama,ask me anything
mor,more
lylab,love you like a brother
gonna,going to
amf,adios motherf**ker
awol,absent without leave
moh,Medal Of Honor
mol,more or less
diacf,die in a car fire
psp,playstation portable
twis,that's what I said
deets,details
mof,matter of fact
pst,please send tell
l8ta,later
2mro,tomorrow
iwfy,I want to f**k you
hoopty,broke down automobile
wbp,Welcome Back Partner
poo,poop
gjt,good job team
omgz,oh my God
2maro,tomorrow
stby,sucks to be you
gjp,good job partner
idrgaf,I don't really give a f**k
wdye,What do you expect
gtfuotb,get the f**k up out this b***h
gimme,give me
wduw,what do you want
wbb,will be back
omgd,Oh my gosh dude
jgiyn,Just google it you noob
omgf,oh my god...f**k!
tolol,thinking of laughing out loud
nw,no way
crzy,crazy
np4np,naked pic for naked pic
ty,thank you
weve,what ever
gnrn,get naked right now
pmp,pissing my pants
vip,very important person
glbt,Gay, lesbian, bisexual, transgenderd
ihnfc,I have no f**king clue
tvm,thanks very much
udek,you don't even know
ezi,easy
s/b,should be
aybabtg,All Your Base Are Belong To Google
mthrfkr,mother f**ker
og,original gangster
brbigtp,be right back, i got to pee.
aoys,angel on your shoulder
avgn,Angry Video Game Nerd
xing,crossing
kmb,kiss my butt
kma,kiss my a**
huggle,hug and cuddle
ddr,dance dance revolution
kml,Killing Myself Laughing
h.o,hold on
m/f,male or female
txting,texting
ig5oi,I got 5 on it 
d1ck,d**k
afair,as far as I recall
ddl,direct download
wthdydt,why the hell did you do that
tl,Tough Luck
ddg,Drop Dead Gorgeous
ddf,Drug and Disease Free
mwah,kiss
ilusm,I love you So much
n64,Nintendo 64
l8tr,later
aykm,are you kidding me
asap,as soon as possible
lmfao,laughing my f**king a** off
habt,how about this
3y3 y4m,I am
h4xrz,hackers
lmclao,laughing my cute little a** off
nmf,not my fault
ntigaf,not that i give a f**k
nme,enemy
irhtgttbr,I really have to go to the bathroom
wtfayta,What the f**k are you talking about?
roglmfao,rolling on ground laughing my f**king a** off
?u@,Where are you?
fmita,f**k me in the a**
bsmfh,b*****d System Manager From Hell
nmh,not much here
iiok,is it okay
acc,account
ntbn,no text-back needed
y2k,year 2000
ok,okay
abreev,abbreviation
nafta,North American Free Trade Agreement
b8rez,Batteries
akpcep,Alexander King Project Cultural Engineering Project
?up,what's up?
ilysmih,i love you so much it hurts
totes,totally
slng,slang
poed,pissed off
tnlnsl,Took nothing left nothing signed log
idby,I Don't Believe You
bbf,best boy friend
ilysfmb,i love you so f**king much baby
imcdo,in my conceited dogmatic opinion
os,operating system
h8tr,hater
op,operator
gngbng,gang bang
dsided,decided
gtgn,got to go now
dnimb,dancing naked in my bra
nb,p,nothing bad, parents
shrn,so hot right now
gtgb,got to go bye
wat's^,Whats Up
t#3,the
contrib,contribution
shiet,s**t
s2bu,Sucks to be you
xcpt,except
wygowm,Will you go out with me
coiwta,come on i wont tell anyone
fmbo,f**k my brains out
gtgp,got to go pee
1dering,wondering
ijpms,I just pissed myself
fmbb,f**k Me Baby
less than 3,love
chswm,come have sex with me
sitb,sex in the but
yrms,You Rock My Socks
code 9,Parents are watching
code 8,parents are watching
mngr,manager
tsff,thats so f**kin funny
lof,Laughing on floor
waygow,who are you going out with
sthing,something
crunk,combination of crazy and drunk
wateva,whatever 
loi,laughing on the inside
lol,laughing out loud
tyred,tired
a$$,a**
gokid,got observers - keep it decent
lov,love
wdtm,what does that mean
ictrn,I can't talk right now
heh,haha
biznatch,b***h
2m4u,too much for you
bleve,believe
wsibt,when should i be there
svn,seven
ilysvm,i love you so very much
witw,what in the world
lee7,elite
kotor,Knights of the old republic
lmaool,laughing my a** off out loud 
jus,just
roflmgao,rolling on the floor laughing my gay a** off
simcl,sitting in my chair laughing
plac,parent looking at computer
juz,just
fumfer,f**k you mother f**ker
wazzup,what's up
gork,God only really knows
wazz,what's
yag,you are gay
yayo,cocaine
urcrzy,you are crazy
jtyltk,just thought you'd like to know
skewl,school
lukin,looking
sbrd,so bored
hhiadb,Holy Hole in a Donut Batman
whatcha,what are you
na4w,not appropriate for work
wbagnfarb,would be a good name for a rock band
wtfigoh,what the f**k is going on here
